title,title_marathi,ingredients,ingredients_regional,instructions,cuisine,diet,occasion,cooking_time_minutes,seasons
Pithla Bhakri,पिठळा भाकरी,"besan,onion,green chili,garlic,turmeric,mustard seeds,curry leaves,oil,salt","बेसन,कांदा,मिरची,लसूण,हळद,राई,करीपत्ता,तेल,मीठ","Mix 1 cup besan with 2 cups water to form a smooth paste, no lumps.;Heat oil in a pan. Add mustard seeds and curry leaves. Let them splutter.;Add chopped onion, green chilies, and garlic. Sauté till soft.;Pour in the besan paste. Stir continuously on medium heat.;Cook for 8–10 minutes till thickened. Add turmeric and salt.;Serve hot with bhakri or roti.",Maharashtrian,vegetarian,"daily,fasting,monsoon",20,monsoon
Sabudana Khichdi,साबूदाना खिचडी,"sabudana,potato,peanuts,green chili,cumin seeds,ghee,salt,lemon juice","साबूदाना,बटाटा,मूंगफळी,मिरची,जीरे,घी,मीठ,निंबू",Soak sabudana in water for 2–3 hours until soft but not mushy.;Peel and dice potatoes. Roast peanuts lightly.;Heat ghee in a pan. Add cumin seeds and chopped green chili.;Add potatoes and sauté for 5 minutes.;Mix in soaked sabudana and peanuts. Cook on low flame for 8 minutes.;Add salt and drop of lemon juice. Serve hot.,Maharashtrian,"vegetarian,fasting","fasting,navratri,ganesh_chaturthi",30,winter
Puran Poli,पुरण पोली,"chana dal,jaggery,cardamom powder,flour,ghee,water","चनादाल,गुड,इलायचीपॉडर,तांदूळाचेकोळसे,घी,पाणी","Roast chana dal until golden, then grind to fine powder.;Cook dal powder with grated jaggery and cardamom until thick like halwa.;Make soft dough with flour, water, and a little ghee.;Roll small balls of dough, flatten, fill with puran, then roll again into a disc.;Cook on tawa with ghee until golden brown on both sides.",Maharashtrian,vegetarian,"festive,ganesh_chaturthi,holi,marriage",60,festive
Batata Bhaji,बाटले भाजी,"potato,onion,turmeric,mustard seeds,curry leaves,oil,salt","बटाटा,कांदा,हळद,राई,करीपत्ता,तेल,मीठ","Peel and dice potatoes into small cubes.;Heat oil in a pan. Add mustard seeds and curry leaves.;Add chopped onions and sauté until translucent.;Add potatoes, turmeric, and salt. Stir to coat.;Cover and cook on low flame till potatoes are soft.;Uncover and fry for 5 more minutes till edges crisp.",Maharashtrian,vegetarian,"daily,school lunch,monsoon",25,monsoon
Misal Pav,मिसळ पाव,"moth beans,onion,tomato,garlic,green chili,tamarind,fennel seeds,oil,pav (bread),coriander,lemon","मोतदाल,कांदा,मिरची,लसूण,करवंद,निंबू,सौंफ,तेल,पाव,धान्य","Soak moth beans overnight, then pressure cook till soft.;In oil, fry fennel seeds, garlic, green chilies.;Add chopped tomatoes and cook till mushy.;Add cooked beans, tamarind paste, and spice mix. Simmer 10 minutes.;Garnish with onions, coriander, lemon juice.;Serve with toasted pav.",Maharashtrian,vegetarian,"breakfast,snack,street food",90,winter
Modak,मोदक,"rice flour,coconut,jaggery,cardamom,ghee,water","चावलीचेआटे,नारळ,गुड,इलायची,घी,पाणी","Make dough with rice flour and warm water. Knead into soft dough.;Grate coconut, mix with jaggery and cardamom powder. Cook until dry.;Roll small balls of dough, flatten into cups.;Fill with coconut-jaggery mix, then pleat edges to form a mound.;Steam for 10–12 minutes. Serve warm.",Maharashtrian,vegetarian,"ganesh_chaturthi,festive,wedding",45,festive
Thalipeeth,थाळीपीठ,"multigrain flour (jowar, bajra, rice, chickpea),onion,green chili,coriander,spice mix (bhaji masala),oil,water","ज्वारी,बाजरी,चावल,बेसनतळलेलेआटे,कांदा,मिरची,धान्य,भाजीमसाला,तेल,पाणी","Mix all flours with salt and bhaji masala.;Add finely chopped onions, green chilies, and coriander.;Add water little by little to make firm dough.;Divide into balls, flatten into thick discs.;Cook on tawa with oil on both sides till golden.",Maharashtrian,vegetarian,"breakfast,daily,fasting",20,monsoon
Zunka Bhakri,झुका भाकरी,"besan,onion,green chili,turmeric,coriander,oil,salt,bhakri (millet flatbread)","बेसन,कांदा,मिरची,हळद,धान्य,तेल,मीठ,भाकरी","Roast besan in a pan on low heat for 5–7 minutes until fragrant.;In another pan, heat oil. Sauté onions, green chilies, turmeric.;Mix roasted besan with sautéed mixture. Add chopped coriander.;Add water to make a thick, moist mix. Cook for 10 minutes.;Serve steaming hot with bhakri and pickles.",Maharashtrian,vegetarian,"daily,monsoon,farmhouse",25,monsoon
Dahi Bhath,दही भात,"rice,curd,water,salt,mustard seeds,curry leaves,dry red chili,coconut,green chili,coriander","भात,दही,पाणी,मीठ,राई,करीपत्ता,गवंडीमिरची,नारळ,मिरची,धान्य","Cook rice and cool to room temperature.;Whisk curd with water to make a thin, tangy mix.;In tempering: heat oil. Add mustard seeds, curry leaves, red chili.;Mix tempering into curd-rice. Add grated coconut, chopped green chili.;Salt to taste. Garnish with coriander. Serve chilled.",Maharashtrian,vegetarian,"lunch,summer,festive",40,summer
Varan Bhat,वरण भात,"toor dal,water,turmeric,salt,rice,ghee,cumin seeds,asafoetida","तूरदाल,पाणी,हळद,मीठ,भात,घी,जीरे,हिंग","Pressure cook toor dal with turmeric and salt until soft.;In a pan, heat ghee. Add cumin and asafoetida. Let them sizzle.;Pour dal tempering over cooked dal. Mix well.;Serve hot with rice and a drizzle of ghee on top.",Maharashtrian,"vegetarian,fasting","daily,funeral,simple meal",35,winter
